Season,Squad,Points,SoTA,Saves,Save%,CS%,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,xG,npxG,npxG/Sh,PAtt,Cmp%,Ast,xAG,xA,KP,PPA,CrsPA,PrgP,SCA,GCA,TklW,DC,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Att,Succ,Succ%,PrgDist,PrgC,PrgR
2019-2020,West Ham,39,4.92,3.34,69.5,18.4,1.63,0.13,0.05,0.16,0.08,1.59,0.3,0.04,1.29,10.9,4.11,37.8,0.11,0.29,1.28,1.19,0.11,443.7,73.8,0.95,0.97,0.88,8.63,6.42,2.11,36.2,19.3,2.34,11,7.89,40.3,11.7,10.1,3.08,7,11.1,29.4,20.8,0.42,552.4,17.4,10.4,59.9,792.9,17.5,36.1
2019-2020,Wolves,59,3.39,2.32,69.8,34.2,1.05,0.03,0.03,0.16,0.03,0.93,0.26,-0.09,1.29,12,3.74,31.1,0.1,0.32,1.42,1.34,0.11,486.2,77.4,0.89,0.99,0.79,8.92,5.87,2.18,35.2,21.1,2.18,9.66,7.39,41,10.6,9.95,2.87,7.08,11.5,28.5,18.5,0.61,596.3,21.5,13.4,62.3,957.7,22.6,34.7
2020-2021,Arsenal,61,3.39,2.45,71.3,31.6,1.03,0.05,0,0.08,0.11,0.95,0.26,0.03,1.39,11.9,3.68,30.9,0.1,0.34,1.36,1.24,0.11,573.9,82.7,1,0.92,0.93,8.74,8.55,1.76,46.3,21.4,2.5,6.63,5.58,38.8,8.82,9.68,2.97,6.71,9.24,21.2,16.9,0.42,669.2,14.1,7.79,55.3,1186.8,19.9,46
2020-2021,Aston Villa,55,4.89,3.5,78,39.5,1.21,0.13,0.05,0.11,0.03,1.29,0.24,0.11,1.37,13.5,4.68,34.6,0.09,0.26,1.38,1.26,0.1,447.3,76.1,1,0.98,0.83,10.6,8.5,2,37.4,24.7,2.47,7.42,6.58,43.8,8.45,11.5,4.18,7.34,10.2,24.1,20.6,0.45,555.6,15.7,9.71,62,806.8,16.6,36.9
2020-2021,Brighton,41,3.29,2.13,68,31.6,1.21,0.16,0,0.21,0.05,0.94,0.24,-0.21,1.03,12.6,3.53,28,0.07,0.25,1.34,1.15,0.09,522.9,79.4,0.63,0.87,0.92,9.42,9.42,2.11,39.9,22.3,1.66,8.79,6.63,41.8,9.24,11,2.55,8.42,11.2,27.7,15.9,0.21,625.2,15.1,9.21,61.1,989.7,18,39.3
2020-2021,Burnley,39,4.71,3.29,70.9,28.9,1.45,0.08,0,0.21,0.03,1.29,0.26,-0.13,0.84,10,3.26,32.5,0.08,0.23,1.03,0.97,0.1,409.5,69.6,0.53,0.73,0.71,7.03,7.68,2.11,26.6,17.5,1.37,7.71,6.03,40.6,8.82,11.6,4.74,6.84,10.9,24.3,21.7,0.29,510.3,10.6,6.16,58.1,551.2,10.2,26.4
2020-2021,Chelsea,67,2.82,1.87,69.2,47.4,0.95,0.08,0.03,0.13,0.03,0.83,0.26,-0.09,1.47,14.4,5.08,35.3,0.09,0.25,1.64,1.43,0.1,678.9,85.2,1,1.09,0.98,11.8,9.92,1.84,47.3,26.8,2.5,8.97,6.08,40.5,8.92,11.1,2.18,8.87,10.1,26.2,17.4,0.42,786.6,17.3,9.45,54.6,1270.8,23.6,47
2020-2021,Crystal Palace,44,4.58,2.82,63.8,21.1,1.74,0.08,0.03,0.24,0,1.35,0.28,-0.39,1.03,9.08,3.34,36.8,0.1,0.28,0.9,0.82,0.09,410.4,74.5,0.76,0.62,0.62,6.95,6.11,1.42,29.8,16.3,1.84,9.63,7.45,45.6,8.87,11.8,3.63,8.13,10.4,27.2,20.4,0.34,521,17,9.61,56.6,707.5,13.8,29.3
2020-2021,Everton,59,4.24,3,72,31.6,1.26,0.08,0.03,0.13,0.03,1.26,0.28,0.02,1.18,10.4,3.76,36.2,0.1,0.29,1.2,1.1,0.11,492,79.1,0.84,0.81,0.76,7.89,6.76,1.58,31.2,18.7,2.11,10,7,40.1,10.5,12.1,4.13,7.92,10.3,27.2,22.3,0.5,601.2,15.6,9.53,61.3,956.2,15.9,31
2020-2021,Fulham,28,4.47,3.11,72.9,23.7,1.39,0.18,0,0.08,0.03,1.43,0.29,0.07,0.68,11.5,3.29,28.7,0.05,0.18,1.07,0.94,0.08,513.5,78.9,0.47,0.69,0.67,8.79,7.63,2.47,35.6,20.7,1.24,8.66,6.68,43.7,8.61,9.37,2.5,6.87,11.5,27.3,20.9,0.34,626.6,20.9,13.3,63.6,984.1,19.1,35.2
2020-2021,Leeds United,59,5.21,3.82,76.8,31.6,1.42,0.21,0.03,0.29,0.05,1.31,0.21,-0.06,1.58,13.6,5.08,37.3,0.11,0.29,1.46,1.38,0.1,542.9,78.9,1.18,1.1,0.91,10.4,9.18,1.79,43,24.3,2.84,11,8.16,40.3,12.1,10.7,3.92,6.76,10.4,29.9,17,0.68,654.6,14.8,8.37,56.5,1180.7,21.3,42.8
2020-2021,Leicester City,66,3.58,2.32,66.2,28.9,1.32,0.11,0,0.24,0.05,1.11,0.29,-0.15,1.68,12.4,4.47,35.9,0.11,0.32,1.47,1.22,0.1,558.3,80.2,1.18,0.89,0.79,9.47,7.45,1.5,38.5,22.7,3,10.6,7.76,43.6,10,10.2,2.37,7.79,11.5,29.4,18,0.24,667.5,17,9.42,55.5,975.6,17.5,38.3
2020-2021,Liverpool,69,3.68,2.55,72.9,31.6,1.11,0.11,0.03,0.16,0,1.16,0.29,0.05,1.71,15.8,5.37,33.9,0.1,0.29,1.78,1.66,0.11,690.2,83.6,1.13,1.27,1.2,12,13.8,2.16,54.1,28.1,2.89,7.97,5.79,40.5,8.5,8.89,1.53,7.37,9.13,23,14.8,0.53,791.4,18.3,10.7,58.5,1336.3,23.3,53.7
2020-2021,Manchester City,86,2.63,1.76,76,50,0.84,0.21,0,0.08,0.03,0.84,0.23,0.03,2.16,15.5,5.55,35.8,0.13,0.36,1.79,1.61,0.11,714.9,87.7,1.45,1.19,1.14,11.4,10.8,1.08,54,28.1,3.71,7.13,6.16,40.6,9,8.16,2.16,6,8.39,21.5,11.9,0.29,807.9,20.6,12.8,61.9,1564.3,28.8,53.5
2020-2021,Manchester Utd,74,3.71,2.58,71.6,34.2,1.16,0.11,0.03,0.24,0.05,1.03,0.25,-0.07,1.84,13.6,5.16,38.1,0.12,0.31,1.58,1.35,0.1,595.4,83.1,1.34,1.09,1.01,10.9,9.92,1.42,48.2,25.1,3.34,8.18,6.08,40.4,8.97,11,3.05,7.95,10.2,24.7,16.7,0.53,700.4,18.7,10.9,58.4,1249.9,23.1,47.8
2020-2021,Newcastle Utd,45,4.95,3.37,69.1,18.4,1.63,0.11,0.03,0.11,0.08,1.42,0.26,-0.14,1.16,10.3,3.42,33.3,0.1,0.29,1.14,0.99,0.1,387.1,73.7,0.68,0.76,0.56,7.61,5.45,2.18,23.8,18.1,1.97,7.05,5.45,37.8,8.95,11.1,4.21,6.92,9.53,23,23.9,0.26,494.1,15.4,9.21,59.6,650.2,12.3,23.4
2020-2021,Sheffield Utd,23,5.42,3.82,70.9,13.2,1.66,0.08,0,0.21,0.08,1.43,0.26,-0.15,0.5,8.39,2.42,28.8,0.05,0.17,0.86,0.78,0.09,428,74.7,0.34,0.66,0.58,6.66,6.66,1.71,31.5,14.9,0.71,9.37,7.74,40.8,11.2,11.6,4,7.63,9.24,25.9,22.1,0.5,535.6,12.5,7.08,56.6,711.3,12.9,31.1
2020-2021,Southampton,43,4.68,2.89,66.3,23.7,1.79,0.21,0.03,0.08,0.03,1.48,0.27,-0.28,1.24,11,4.13,37.6,0.1,0.27,1.08,0.96,0.09,507.6,77.4,0.87,0.68,0.58,7.74,6.87,0.95,31.4,19.2,2.18,11,8.97,46.6,10.3,11.6,2.5,9.05,10.6,29.7,17.9,0.26,621.2,15.8,9.03,57.1,882.5,16.5,31.3
2020-2021,Tottenham,62,4.08,2.97,77.4,31.6,1.18,0.26,0,0.08,0.08,1.2,0.24,0.09,1.74,11.5,4.39,38.1,0.14,0.37,1.4,1.29,0.12,541.3,80.2,1.32,0.93,0.67,8.32,6.76,1.42,35,20.7,3.16,9.5,7.29,40.6,10.7,11.4,3.87,7.55,9,25.7,20.9,0.39,649.2,18.8,10.6,56.4,978.5,16.7,34.6
2020-2021,West Brom,26,6.32,4.37,71.3,15.8,2,0.18,0.05,0.21,0.08,1.79,0.25,-0.13,0.87,8.82,2.79,31.6,0.09,0.27,0.94,0.86,0.1,367.8,69.9,0.53,0.64,0.56,6.34,5.16,1.58,27,14.9,1.39,8.63,7.13,41.3,10.1,12,4.18,7.79,11.4,26.7,23.1,0.34,480.2,13.3,6.95,52.3,566.5,11.6,26.8
2020-2021,West Ham,65,3.87,2.71,70.1,28.9,1.24,0.08,0,0.18,0.11,1.11,0.27,-0.03,1.58,12.2,4.16,34.1,0.13,0.37,1.46,1.37,0.12,444.8,75.3,1.21,1.04,0.84,8.95,6.26,2.5,33.7,21.7,2.79,7.37,5.89,39.1,9.18,10.7,3.26,7.39,11.5,25,20.5,0.29,547.6,14.3,7.84,55,800.4,17.3,33.2
2020-2021,Wolves,45,4,2.68,70.4,26.3,1.37,0.18,0.03,0.24,0.08,1.22,0.25,-0.07,0.89,12.1,3.92,32.5,0.07,0.2,0.96,0.88,0.08,505.9,80.9,0.55,0.63,0.63,9.08,5.61,2.24,33.8,21.6,1.66,8.82,7.29,45.3,8.79,9.45,3.08,6.37,11.4,26.8,19.1,0.39,612.1,20.5,12.3,60.1,1015.2,21.1,33.3
2021-2022,Arsenal,69,3.87,2.63,70.7,34.2,1.26,0.13,0,0.08,0.03,1.25,0.29,0.02,1.58,15.3,4.89,32,0.09,0.3,1.59,1.45,0.1,522.2,81.5,1.08,1.06,0.91,11.5,8.66,1.95,43.6,27.1,2.61,8.18,6.42,48.8,6.74,10.2,3.24,6.92,7.79,22,17.3,0.53,625.8,15.5,8.39,54.1,1036.5,19.3,43.2
2021-2022,Aston Villa,45,3.92,2.53,66.4,28.9,1.42,0.11,0.05,0.13,0.05,1.22,0.29,-0.14,1.32,12.1,4.18,34.5,0.1,0.3,1.16,1.11,0.09,434.2,77.3,1.11,0.92,0.79,9.37,7.71,1.84,34.2,22,2.45,10.1,7.89,46.2,9.18,11.9,3.68,8.24,8.92,25.6,18.2,0.34,542.3,15.4,8.76,56.7,833.5,17.2,34
2021-2022,Brentford,46,4.71,3.29,71.5,23.7,1.47,0.13,0.03,0.21,0.05,1.3,0.25,-0.12,1.21,11.5,3.71,32.3,0.09,0.28,1.21,1.08,0.1,428.2,71.8,0.87,0.87,0.89,8.18,6.89,2.13,31.3,19.4,2.05,9,7.66,47.2,8.55,10.1,2.97,7.11,10.3,26.3,22.7,0.18,538.5,12.5,6.89,55,686.4,11.8,30.8
2021-2022,Brighton,51,3.84,2.68,71.9,28.9,1.16,0.08,0.03,0.16,0,1.12,0.28,-0.04,1.05,12.7,3.71,29.3,0.07,0.26,1.22,1.07,0.09,541.8,79.7,0.79,0.85,0.83,9.37,9,1.89,40.7,22.9,1.89,10.6,6.39,43.2,8.42,12.6,3.95,8.68,9.42,27,19,0.32,654.1,14.7,8.34,56.7,923.6,17.8,40.2
2021-2022,Burnley,35,4.68,3.34,73,23.7,1.39,0.13,0.03,0.18,0.05,1.25,0.25,-0.09,0.84,10.7,3.13,29.4,0.08,0.26,1.04,1,0.1,371.2,67,0.68,0.82,0.74,7.53,6.32,2.21,25.6,17.7,1.58,8.53,6.58,46.8,7.47,13.4,5.55,7.84,10.8,26.3,23.3,0.47,483.4,12.6,6.79,53.9,501.6,10.2,25.2
2021-2022,Chelsea,74,3.03,2.18,76.5,42.1,0.87,0.16,0,0.05,0.03,0.83,0.22,-0.01,1.97,15.3,5.26,34.3,0.11,0.34,1.67,1.49,0.1,654.9,85.1,1.37,1.18,1.12,11.6,11.5,1.74,51.8,28,3.55,9.16,6.76,45.3,8.16,10.7,2.53,8.21,9.13,25.5,16.9,0.39,762.5,16.4,9.58,58.3,1223.8,23.5,51.5
2021-2022,Crystal Palace,48,3.79,2.61,70.1,31.6,1.21,0.08,0.05,0.29,0.05,1.01,0.24,-0.14,1.32,10.6,3.68,34.7,0.11,0.31,1.22,1.06,0.1,502.1,78.5,0.82,0.82,0.79,8.03,7.11,1.97,32.3,18.7,2.13,9.84,7.18,47.5,7.95,11.9,3.55,8.34,8.76,25.5,20,0.13,617.5,18.1,10.1,55.6,873.1,15.6,31.9
2021-2022,Everton,39,4.95,3.34,66,21.1,1.74,0.05,0.05,0.34,0.13,1.47,0.29,-0.13,1.11,11.3,3.42,30.2,0.08,0.28,1.08,0.94,0.08,383.1,71.2,0.76,0.75,0.66,8.5,6.71,2.03,28.9,19.5,1.79,10.6,8.84,45.7,10.5,13.1,3.68,9.37,9.61,28.2,21.4,0.39,502,16.7,8.87,53.2,673.7,13.5,28.6
2021-2022,Leeds United,38,5.89,3.84,67,13.2,2.08,0.13,0.08,0.26,0.03,1.64,0.26,-0.41,1.11,12.6,3.74,29.6,0.08,0.26,1.17,1.06,0.09,481.3,76.5,0.68,0.82,0.66,9.13,7.16,1.39,39,21.7,1.74,11.5,10.7,46,12.6,12.4,3.76,8.68,10.4,31.1,16.3,0.39,597.5,17.2,8.92,51.8,956.7,17.7,38.6
2021-2022,Leicester City,52,5.05,3.47,72.9,18.4,1.55,0.18,0.03,0.39,0.03,1.5,0.26,-0.03,1.63,11.4,4.32,37.9,0.14,0.37,1.26,1.22,0.11,529.9,80.1,1.21,0.9,0.71,8.21,6.68,1.5,35.7,19.6,2.76,10.1,8.05,42.5,10.9,12.3,3.84,8.5,9.66,27.8,20.4,0.39,642.3,14.4,7.82,54.3,914.8,16.4,35.6
2021-2022,Liverpool,92,2.82,2.16,75.7,55.3,0.68,0,0,0.08,0.03,0.7,0.26,0.04,2.47,19,6.24,32.9,0.12,0.37,2.33,2.18,0.12,672.4,82.8,1.87,1.67,1.48,13.9,13.4,2.42,59,32.9,4.29,8.42,6.13,40.5,9.03,9.45,1.95,7.5,8.95,23.5,13.8,0.21,778.3,16.7,9.03,54,1192.8,23.3,58.6
2021-2022,Manchester City,93,2.24,1.55,70.6,55.3,0.68,0.03,0,0.03,0,0.68,0.29,-0.01,2.53,18.5,6.24,33.7,0.13,0.38,2.33,2.14,0.12,734.3,87.5,1.66,1.72,1.5,14.1,14.1,1.95,63.7,33.8,4.16,7.47,5.97,44.6,7.42,7.03,1.45,5.58,7.34,20.4,10.6,0.18,825.8,19.5,11.2,57.4,1610.5,30.1,63.2
2021-2022,Manchester Utd,58,4.74,3.26,70,21.1,1.5,0.08,0,0.11,0.08,1.45,0.29,0.03,1.47,13.2,4.71,35.6,0.11,0.3,1.47,1.37,0.11,543.2,80.9,1.21,1.12,0.98,10.7,8.21,1.71,41.3,24.1,2.74,9.42,6.97,43.6,9.03,10.6,3.5,7.13,8.95,24.3,18.5,0.53,648.7,16.6,9.68,58.3,1092,20.6,41.1
2021-2022,Newcastle Utd,49,4.34,2.74,65.5,21.1,1.63,0.13,0,0.21,0.05,1.38,0.29,-0.2,1.08,11.7,3.74,31.8,0.09,0.27,1,0.94,0.08,369.4,72.7,0.61,0.68,0.61,8.11,5.08,1.45,24.3,19.9,1.84,10.1,8,47.4,8.87,11.1,4.26,6.79,9.47,26.8,20.4,0.37,481.1,16.6,9.45,56.8,630.6,14.3,24
2021-2022,Norwich City,22,5.84,3.66,66.2,15.8,2.21,0.24,0.03,0.24,0.05,1.78,0.27,-0.38,0.55,9.74,2.74,28.1,0.05,0.17,0.85,0.79,0.08,422.9,75.7,0.42,0.64,0.62,6.95,5.95,1.21,27.1,16.8,0.92,9.68,7.82,41.6,11,11.8,4.74,7.11,10,26.2,22.6,0.37,532.5,15.3,7.84,51.3,791.4,14.9,26.8
2021-2022,Southampton,40,4.82,3.11,64.5,21.1,1.76,0.05,0,0.32,0.05,1.51,0.31,-0.21,1.08,12.6,4.24,33.7,0.08,0.23,1.18,1.09,0.09,445.8,73.8,0.68,0.86,0.76,9.29,6.55,1.53,34.9,21.4,1.87,8.95,6.53,42.7,8.76,11.3,3.47,7.84,11.7,27.6,20.9,0.34,563.6,16.4,9.21,56.1,827,19.2,34.6
2021-2022,Tottenham,71,3.61,2.58,72.3,42.1,1.05,0.05,0.03,0.13,0.03,0.99,0.26,-0.04,1.66,12.8,4.87,38.1,0.12,0.31,1.61,1.51,0.12,544.6,83.1,1.32,1.24,1.09,9.97,8.89,2.13,38.4,23.2,3.08,9.18,6.89,44.9,8.47,12.4,4.24,8.13,9.34,25.1,20.9,0.39,654,17.6,9.87,56.2,1114.2,20.8,38.2
2021-2022,Watford,23,4.95,2.97,62.2,10.5,2.03,0.16,0.03,0.16,0.08,1.59,0.29,-0.36,0.87,10.4,3.24,31,0.08,0.26,1.05,1.01,0.1,385.3,71.2,0.68,0.86,0.59,7.84,5.61,1.84,28.2,18.2,1.5,9.37,7.32,44.4,9.16,11.6,3.89,7.68,11.7,27.8,23.7,0.5,504.2,19.8,10.4,52.6,654.3,14.7,27.8
2021-2022,West Ham,56,4.34,2.97,70.3,21.1,1.34,0.05,0.05,0.21,0.05,1.26,0.27,-0.03,1.53,11.7,3.74,32.1,0.12,0.38,1.35,1.23,0.11,483.6,78,1.21,0.98,0.85,8.42,7.13,2.29,38.1,20.3,2.68,7.92,6.32,43.1,8.34,11.1,4.61,6.45,9.84,23.9,20.6,0.13,587.7,14.3,8.05,56.1,859.6,17,37.8
2021-2022,Wolves,51,4.39,3.29,79.6,28.9,1.13,0.24,0.03,0.05,0.03,1.3,0.25,0.19,0.92,10.6,3.5,33.2,0.08,0.26,0.99,0.97,0.09,502.7,79.8,0.58,0.69,0.62,7.74,5.58,1.5,33.8,18.2,1.53,9.92,7.18,40.7,10.5,11.5,3.55,7.95,10.2,27.9,21.6,0.53,614.1,20.3,11.8,58.4,952.3,19,33.2
2022-2023,Arsenal,84,3.58,2.47,70.6,36.8,1.13,0.08,0,0.16,0.03,1.05,0.28,-0.05,2.21,15.5,5.11,32.9,0.14,0.42,1.89,1.82,0.12,578.1,83.2,1.68,1.42,1.23,11.7,12.1,1.63,53.9,27.5,3.95,9.03,6.55,48.9,6.84,9.53,2.26,7.26,6.24,21.2,15.8,0.61,681.8,19.8,9.24,46.7,1163.2,21.7,53.3
2022-2023,Aston Villa,61,3.97,2.84,72.8,31.6,1.21,0.13,0.03,0.24,0.11,1.13,0.25,0.02,1.29,11.2,3.82,34,0.11,0.32,1.32,1.24,0.11,457.8,79.2,0.92,1.02,0.83,8.37,7.05,2.11,32.7,19.8,2.21,8.89,8.24,48.5,8.76,11.5,3.11,8.42,8.53,25.2,18.8,0.37,565.8,17.9,7.68,42.9,872.5,16.8,32.3
2022-2023,Bournemouth,39,5.37,3.58,68.1,21.1,1.87,0.16,0,0.42,0.08,1.67,0.29,-0.12,0.97,9.42,3.32,35.2,0.1,0.29,1.02,1.02,0.11,404.8,76.2,0.63,0.75,0.69,6.87,6.24,1.97,26.5,16.2,1.68,9.76,6.74,42.2,9.21,13.1,4.47,8.66,9.29,25.6,27,0.29,525,19.3,8.45,43.7,721.6,13.3,25.9
2022-2023,Brentford,59,5.18,4.05,77.7,31.6,1.21,0.05,0.03,0.24,0.08,1.27,0.24,0.13,1.47,10.5,3.87,36.8,0.12,0.33,1.49,1.33,0.13,409.2,72.8,0.95,1.02,0.8,7.47,7.34,2.29,29.8,18.5,2.58,8.87,6.66,42.2,9.11,12,4.42,7.58,8.97,24.4,21.6,0.37,519.7,15.7,6.95,44.2,631.4,10.3,29.5
2022-2023,Brighton,62,3.45,2.16,64.1,31.6,1.39,0.16,0,0.16,0.16,1.12,0.27,-0.11,1.79,16,5.76,36.1,0.1,0.28,1.93,1.81,0.12,602.3,83.9,1.21,1.37,1.18,12.6,10.3,2.05,48.7,28.3,3.03,8.95,7,47.4,7.76,10.3,2.74,7.58,7.97,24.2,11.4,0.39,703.4,19.1,9.08,47.5,1157,21.3,48.1
2022-2023,Chelsea,44,4.18,3.03,71.1,26.3,1.24,0.03,0.03,0.21,0.08,1.24,0.3,0.08,0.97,12.7,3.97,31.4,0.07,0.23,1.3,1.24,0.1,600.9,83.8,0.71,1.02,0.93,9.89,9.74,1.79,45.7,22.6,1.79,11.7,8.76,50.8,8.5,12.3,2.84,9.42,8.97,28.4,17.4,0.55,714.9,22.1,10,45.3,1147.3,21.8,45.5
2022-2023,Crystal Palace,45,4.21,3,71.9,23.7,1.29,0.11,0,0.21,0.08,1.18,0.26,-0.03,1,11.1,3.5,31.4,0.09,0.28,1.03,0.97,0.09,455.5,77.4,0.76,0.76,0.63,8.32,6.29,1.34,32.7,19.6,1.76,11.1,7.39,52.8,6.61,12.2,3.13,9.05,9.45,27.6,21.2,0.18,571.4,20.6,9.66,46.8,789.9,14.6,32.6
2022-2023,Everton,36,4.87,3.34,71.9,23.7,1.5,0.13,0.05,0.11,0,1.59,0.3,0.09,0.84,11.2,3.76,33.6,0.07,0.2,1.19,1.13,0.1,415.3,74.7,0.63,0.85,0.71,8.11,5.89,1.76,27.7,19.3,1.55,11.2,8.13,50.6,7.95,13.4,4.74,8.68,10.3,28.9,23,0.45,532.4,17.6,8.03,45.6,733.1,13.2,27.4
2022-2023,Fulham,52,5.16,3.79,76.5,23.7,1.39,0.18,0.03,0.21,0.05,1.58,0.28,0.24,1.37,11.1,3.61,32.6,0.11,0.34,1.22,1.03,0.1,474.1,77.6,0.87,0.75,0.62,8.05,7.47,2.55,34.9,19.8,2.37,9.21,7.87,51.1,7.53,12,3.29,8.68,8.95,25.4,19.7,0.39,583.2,15.8,7.16,45.4,929.4,17.4,34.6
2022-2023,Leeds United,31,4.87,2.84,60.5,13.2,2.05,0.13,0.03,0.18,0.03,1.69,0.32,-0.34,1.18,12.1,3.71,30.7,0.1,0.31,1.25,1.18,0.1,445.4,73.5,0.82,0.84,0.72,8.87,7.11,1.84,37.6,20.6,1.82,12.6,10.8,47.7,11.9,14.1,3.45,10.7,10.3,32.4,19.3,0.47,569.5,18.1,7.05,39,712.2,14.6,37.3
2022-2023,Leicester City,34,4.68,2.97,64,18.4,1.79,0.11,0.11,0.21,0.13,1.46,0.29,-0.2,1.29,10.8,3.74,34.5,0.11,0.32,1.33,1.21,0.11,496.6,78.9,0.95,1.01,0.69,8.39,5.79,1.37,34.3,19.6,2.29,10.8,8.11,46,9.5,13.6,4.47,9.13,9.66,28.1,20.4,0.32,608.6,16.3,7.66,46.9,832.1,15.3,34.1
2022-2023,Liverpool,67,4.13,2.92,71.3,36.8,1.24,0.05,0,0,0.05,1.42,0.33,0.24,1.87,15.8,5.34,33.8,0.11,0.34,1.91,1.83,0.12,641.1,82.3,1.53,1.49,1.38,12.1,11.9,2.24,52.4,27.5,3.39,9.74,7.39,43.4,9.66,9.21,1.95,7.26,8.76,24.3,14.9,0.53,747.3,18.2,8.42,46.3,1092.8,18.9,51.9
2022-2023,Manchester City,89,2.42,1.58,67.4,34.2,0.87,0.08,0.03,0.11,0.03,0.8,0.3,-0.04,2.42,15.5,5.39,34.7,0.14,0.4,2.07,1.87,0.12,701.1,87.3,1.82,1.51,1.52,12.2,11.7,1.97,54.6,28.9,4.42,7.16,5.58,45.9,6.58,8.92,2.5,6.42,5.87,18.3,10.6,0.24,786.7,18.5,8.84,47.7,1479.4,26,54.1
2022-2023,Manchester Utd,75,3.74,2.61,71.1,44.7,1.13,0.05,0.05,0.16,0.03,1.09,0.27,-0.02,1.47,15.5,5.42,34.9,0.09,0.26,1.78,1.72,0.11,540.1,80.9,1.11,1.37,1.17,12.6,10.5,1.5,42,27.7,2.61,10.5,7.92,50.3,7.82,13.1,3.84,9.21,9.26,26.6,20.3,0.29,653.9,19.2,8.34,43.4,977,18.7,41.5
2022-2023,Newcastle Utd,71,3.34,2.47,75.6,36.8,0.87,0.05,0,0.21,0.05,0.87,0.24,0.06,1.68,14.9,4.84,32.6,0.1,0.32,1.89,1.77,0.12,469.4,78.1,1.11,1.37,1.18,11.4,10.6,1.68,42.6,26.5,2.79,9.47,8.08,47.8,8.82,11.8,3.05,8.74,8.76,24.7,17.9,0.26,581.7,20.6,9.18,44.6,867.6,18.3,42.1
2022-2023,Nott'ham Forest,38,4.79,2.95,65.9,21.1,1.79,0.16,0.05,0.24,0,1.58,0.3,-0.21,0.95,9.53,2.92,30.7,0.09,0.3,1.03,0.91,0.1,358.1,70.1,0.58,0.69,0.54,6.47,4.53,1.32,22.6,15.6,1.42,10.2,7.79,50.7,7.58,13.2,4.11,9.05,9.18,26.5,24.8,0.18,471.4,15,6.68,44.6,631.8,11.4,22.3
2022-2023,Southampton,25,3.95,2.13,52.7,10.5,1.92,0.05,0.03,0.21,0.13,1.22,0.29,-0.57,0.95,10.9,3.47,32,0.08,0.26,0.99,0.91,0.09,431.3,75.2,0.66,0.74,0.68,7.95,6.29,1.87,29.6,18.9,1.61,11.2,7.82,48.6,8.26,14.3,4.34,9.92,11.3,30,22.4,0.29,555.1,20,9.5,47.6,784.8,15.5,29.3
2022-2023,Tottenham,60,4.53,2.87,65.1,26.3,1.66,0.08,0.03,0.18,0.03,1.45,0.3,-0.18,1.79,13.5,4.89,36.3,0.12,0.34,1.5,1.38,0.1,517.7,81.2,1.21,1.13,0.89,10.2,8.5,2.74,38.1,23.9,3.05,9.29,7.24,47.9,7.87,11.3,3.89,7.37,8.95,25.2,20.1,0.53,627.3,17.5,8.05,45.9,969.5,18.2,37.8
2022-2023,West Ham,40,4.47,3.03,70,23.7,1.45,0.11,0,0.11,0.03,1.4,0.29,-0.02,1.08,12.3,3.5,28.5,0.08,0.26,1.29,1.15,0.1,430.4,75.6,0.66,0.86,0.71,8.95,5.58,2.11,33.5,21.5,1.76,8.84,7.11,48,7.68,10.9,3.66,7.26,10.7,26.7,21.3,0.26,537.1,16.2,6.55,40.6,743.3,16.2,33.3
2022-2023,Wolves,41,4.58,3.03,67.8,28.9,1.53,0.05,0,0.16,0.03,1.37,0.28,-0.13,0.74,10.8,3.13,29.1,0.06,0.21,0.97,0.91,0.09,481.4,79.6,0.32,0.67,0.55,7.74,6.63,1.87,35.3,18.8,1.16,9.74,7.53,47,8.5,13.1,4.61,8.47,7.34,24.7,21.5,0.5,593.1,20.3,9.87,48.6,922.8,16.1,35
